Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;A. Peterson;27;30;0,5;27,5;3;6;0,5;3;5;0,6;0;1;0;0;0;;;;;;;;;6;1;3;4;5;4;2;0;1;0;3;3;10;1;A. Peterson
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;A. Salvadores;19;59;0,98;19,98;5;10;0,5;5;9;0,555555556;0;1;0;0;0;;;;;;;;;10;1;3;4;4;2;2;0;0;3;3;-17;13;8;A. Salvadores
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;Capitaine;Starter;M. Djaldi-Tabdi;19;5;0,08;19,08;2;7;0,285714286;2;5;0,4;0;2;0;0;0;;;;;;;;;4;1;1;2;1;2;1;0;0;5;0;-9;1;14;M. Djaldi-Tabdi(C)
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;L. Geiselsoder;29;32;0,53;29,53;4;10;0,4;4;7;0,571428571;0;3;0;0;0;;;;;;;;;8;3;7;10;2;2;2;0;0;2;0;-18;14;15;L. Geiselsoder
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;K. Chery;31;19;0,32;31,32;3;8;0,375;2;6;0,333333333;1;2;0,5;2;4;0,5;;;;;;;;9;2;3;5;0;2;0;1;0;2;3;10;6;97;K. Chery
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;S. Fuehring;35;13;0,22;35,22;6;11;0,545454545;5;8;0,625;1;3;0,333333333;3;4;0,75;;;;;;;;16;1;8;9;1;2;1;0;1;2;4;13;19;3;S. Fuehring
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;M. Pardon;25;58;0,97;25,97;3;7;0,428571429;2;3;0,666666667;1;4;0,25;1;2;0,5;;;;;;;;8;0;3;3;3;6;2;0;0;1;3;2;5;5;M. Pardon
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;S. Macquet;6;10;0,17;6,17;1;1;1;0;0;;1;1;1;0;0;;;;;;;;;3;0;2;2;1;0;0;0;0;2;1;4;6;13;S. Macquet
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;Y. Ewodo;18;58;0,97;18,97;4;7;0,571428571;4;7;0,571428571;0;0;;0;0;;;;;;;;;8;0;2;2;2;3;2;0;0;0;0;-15;8;16;Y. Ewodo
17;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;L. Bussiere;11;16;0,27;11,27;0;1;0;0;1;0;0;0;;0;0;;;;;;;;;0;0;2;2;1;0;1;0;0;0;0;2;3;28;L. Bussiere
