Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;Capitaine;Starter;R. Bernies;36;24;0,4;36,4;4;13;0,307692308;2;4;0,5;2;9;0,222222222;3;3;1;;;;;;;;13;2;0;2;7;1;4;0;0;4;2;-21;16;47;R. Bernies(C)
1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;L. Djoko;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;L. Djoko
1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;M. Lokoka;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;M. Lokoka
1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;T. Kakova;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3;T. Kakova
1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;A. Brun;1;2;0,03;1,03;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;3;-2;4;A. Brun
1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;S. Caetano;1;38;0,63;1,63;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;2;0;-4;0;8;S. Caetano
1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;M. Toure;28;35;0,58;28,58;2;8;0,25;1;4;0,25;1;4;0,25;3;4;0,75;;;;;;;;8;2;0;2;2;4;2;0;0;2;3;-25;3;28;M. Toure
1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;K. Linskens;21;10;0,17;21,17;2;5;0,4;2;4;0,5;0;1;0;1;2;0,5;;;;;;;;5;0;7;7;0;0;0;0;0;1;1;-8;8;31;K. Linskens
1/2 finale Aller;Playoff;Domicile;Defaite;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;ERREUR;ERREUR;ERREUR;ERREUR;21;66;0,318181818;12;35;0,342857143;9;31;0,290322581;13;19;0,684210526;16;22;8;6;13;;9;64;14;17;31;16;13;10;1;2;19;19;0;58;;TOTAUX EQUIPE
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;E. Naigre;23;9;0,15;23,15;3;9;0,333333333;2;7;0,285714286;1;2;0,5;1;1;1;;;;;;;;8;1;1;2;6;3;0;0;0;3;2;-11;7;13;E. Naigre
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;A. Alston;31;54;0,9;31,9;8;13;0,615384615;7;11;0,636363636;1;2;0,5;5;5;1;;;;;;;;22;0;1;1;2;1;0;0;1;4;3;-30;19;22;A. Alston
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;A. Jenkins;29;24;0,4;29,4;3;6;0,5;2;5;0,4;1;1;1;2;2;1;;;;;;;;9;1;3;4;5;0;2;0;0;3;2;-21;17;24;A. Jenkins
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;G. Rabot;24;37;0,62;24,62;2;9;0,222222222;2;6;0,333333333;0;3;0;3;4;0,75;;;;;;;;7;0;6;6;3;0;2;0;0;1;4;-12;10;26;G. Rabot
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;Capitaine;Starter;R. Bernies;33;40;0,67;33,67;4;12;0,333333333;1;4;0,25;3;8;0,375;0;0;;;;;;;;;11;0;3;3;3;5;1;0;0;1;3;-15;5;47;R. Bernies(C)
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;M. Lokoka;3;31;0,52;3,52;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;1;1;2;0;0;0;0;0;0;0;-10;2;1;M. Lokoka
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;L. Djoko;3;31;0,52;3,52;0;3;0;0;3;0;0;0;;1;2;0,5;;;;;;;;1;0;2;2;0;0;0;0;0;1;1;-10;-1;4;L. Djoko
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;S. Caetano;9;18;0,3;9,3;0;4;0;0;3;0;0;1;0;0;0;;;;;;;;;0;1;0;1;0;0;0;0;1;3;1;-26;-3;8;S. Caetano
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;M. Toure;20;32;0,53;20,53;2;8;0,25;1;3;0,333333333;1;5;0,2;0;1;0;;;;;;;;5;0;1;1;1;2;2;0;0;1;1;-25;0;28;M. Toure
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;K. Linskens;20;25;0,42;20,42;2;4;0,5;2;4;0,5;0;0;;0;0;;;;;;;;;4;0;2;2;3;0;0;0;0;4;0;-20;7;31;K. Linskens
1/2 finale Retour;Playoff;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;ERREUR;ERREUR;ERREUR;ERREUR;24;68;0,352941176;17;46;0,369565217;7;22;0,318181818;12;15;0,8;17;30;3;14;10;14;9;67;7;21;28;23;12;7;0;2;21;17;0;66;;TOTAUX EQUIPE
